id|movie_id|info_type_id|info|note
7266123|921521|4|English|
7266124|921522|4|English|
7266125|921523|4|English|
7266126|921524|4|English|
7266127|921525|4|English|
7266128|921526|4|English|
7266129|921527|4|English|
7266130|921528|4|English|
7266131|921529|4|English|
7266132|921530|4|English|
7266133|921531|4|English|
7266134|921532|4|English|
7266135|921533|4|English|
7266136|921534|4|English|
7266137|921535|4|English|
7266138|921536|4|English|
7266139|921537|4|English|
7266140|921538|4|English|
7266141|921539|4|English|
7266142|921540|4|English|
7266143|921541|4|English|
7266144|921542|4|English|
7266145|921543|4|English|
7266146|921544|4|English|
7266147|921545|4|English|
7266148|921546|4|English|
7266149|921547|4|English|
7266150|921548|4|English|
7266151|921549|4|English|
7266152|921550|4|English|
7266153|921551|4|English|
7266154|921552|4|English|
7266155|921553|4|English|
7266156|921554|4|English|
7266157|921555|4|English|
7266158|921556|4|English|
7266159|921557|4|English|
7266160|921558|4|English|
7266161|921559|4|English|
7266162|921560|4|English|
7266163|921561|4|English|
7266164|921562|4|English|
7266165|921563|4|English|
7266166|921564|4|English|
7266167|921565|4|English|
7266168|921566|4|English|
7266169|921567|4|English|
7266170|921568|4|English|
7266171|921569|4|English|
7266172|921570|4|English|
7266173|921571|4|English|
7266174|921572|4|English|
7266175|921573|4|English|
7266176|921574|4|English|
7266177|921575|4|English|
7266178|921576|4|English|
7266179|921577|4|English|
7266180|921578|4|English|
7266181|921579|4|English|
7266182|921580|4|English|
7266183|921581|4|English|
7266184|921582|4|English|
7266185|921583|4|English|
7266186|921584|4|English|
7266187|921585|4|English|
7266188|921586|4|English|
7266189|921587|4|English|
7266190|921588|4|English|
7266191|921589|4|English|
7266192|921590|4|English|
7266193|921591|4|English|
7266194|921592|4|English|
7266195|921593|4|English|
7266196|921594|4|English|
7266197|921595|4|English|
7266198|921596|4|English|
7266199|921597|4|English|
7266200|921598|4|English|
7266201|921599|4|English|
7266202|921600|4|English|
7266203|921601|4|English|
7266204|921602|4|English|
7266205|921603|4|English|
7266206|921604|4|English|
7266207|921605|4|English|
7266208|921606|4|English|
7266209|921607|4|English|
7266210|921608|4|English|
7266211|921609|4|English|
7266212|921610|4|English|
7266213|921611|4|English|
7266214|921612|4|English|
7266215|921613|4|English|
7266216|921614|4|English|
7266217|921615|4|English|
7266218|921616|4|English|
7266219|921617|4|English|
7266220|921618|4|English|
7266221|921619|4|English|
7266222|921620|4|English|
