id|movie_id|keyword_id
1|2|1
2|11|2
3|22|2
4|44|3
5|24|2
6|50|4
7|50|5
8|50|6
9|50|7
10|50|8
11|51|9
12|51|10
13|51|11
14|51|12
15|51|13
16|51|14
17|51|15
18|51|16
19|51|17
20|51|18
21|51|19
22|51|20
23|51|21
24|51|22
25|51|23
26|51|24
27|51|25
28|51|26
29|51|27
30|51|28
31|51|29
32|64|30
33|64|31
34|64|32
35|64|33
36|64|34
37|64|35
38|64|36
39|64|37
40|64|38
41|64|39
42|64|40
43|64|41
44|64|42
45|64|43
46|64|44
47|64|45
48|64|46
49|69|47
50|69|1
51|69|48
52|69|49
53|82|1
54|84|1
55|85|47
56|85|1
57|86|50
58|86|51
59|86|52
60|86|1
61|86|53
62|86|54
63|106|55
64|114|56
65|114|57
66|114|1
67|114|58
68|114|59
69|118|60
70|118|61
71|118|62
72|118|63
73|118|64
74|118|55
75|118|65
76|118|1
77|118|66
78|211|50
79|211|67
80|211|68
81|227|63
82|227|65
83|227|47
84|227|1
85|227|48
86|228|69
87|228|70
88|228|47
89|228|1
90|284|71
91|284|72
92|284|73
93|284|74
94|284|75
95|284|76
96|284|77
97|284|78
98|284|79
99|284|80
100|284|81
